#SampleID	State	Year	SiteAlias	dashedName	SampleID2	Collected-Date	WaterbodyName	Latitude	Longitude	COMID	US-L4CODE	US-L3CODE	DIST-Cat	CatAreaSqKm	WsAreaSqKm	BFICat	ElevCat	Na2OCat	Al2O3Cat	CaOCat	Fe2O3Cat	SiO2Cat	MgOCat	SCat	P2O5Cat	K2OCat	NCat	HydrlCondCat	CompStrgthCat	ICI-v2-1	PctImp2019Cat	AgKffactCat	KffactCat	PctGlacTilCrsCat	SN-2008Cat	NO3-2008Cat	InorgNWetDep-2008Cat	NH4-2008Cat	PctUrban2019Cat	PctForest2019Cat	PctAg2019Cat	PctWetland2019Cat	PctHay2019Cat	PctCrop2019Cat	NsurpCat	NANICat	PrecipCat	TmaxCat	TmeanCat	TminCat	MSST-Avg	RockNCat	RunoffCat	ClayCat	SandCat	WtDepCat	OmCat	PermCat	RckDepCat	sw-fluxCat	WaterInputCat	wdrw-LDCat	WetIndexCat	Temperature-DegC	SpecConductivity-msCm	DO	Tot-Alk	NO3NO2	Chloride	Chla-area	Color-app	TKN	TN	TP	Turbidity	TDS	Chla-conc	pH
MassExtra_Ref_5289_QC-2024	MA	2024	MassExtra-Ref-5289	MassExtra-Ref-5289-QC-2024	MassExtra-Ref-5289-QC	15-Aug-24	Mason Brook	42.706137	-71.751964	6075289	59h	59	Ref	2.628	16.3251	48	147.6277	2.7922	14.7374	4.3442	5.1787	62.6306	2.2786	0.0309	0.1606	2.3144	0.0259	0.1704	130.1297	0.793343493	1.82	0.0063	0.23	39.69	638.9256	11.8464	4.4842	2.3375	4.18	81.16	1.88	7.19	1.88	0	2947.937281	2488.439059	1209.328632	14.55557988	8.567394346	-10.91842454	18.92035595	110.1138	494	4.67	50.064	146.77	3.15	9.02	132.34	594044	1.30E-05	21.4029	757.8599				8.48	0.05	14	0.0018	52	0.387	0.39	0.02	1.7	74	0.364	6.48
MassExtra_Ref_5289-2024	MA	2024	MassExtra-Ref-5289	MassExtra-Ref-5289-2024	MassExtra-Ref-5289	15-Aug-24	Mason Brook	42.706137	-71.751964	6075289	59h	59	Ref	2.628	16.3251	48	147.6277	2.7922	14.7374	4.3442	5.1787	62.6306	2.2786	0.0309	0.1606	2.3144	0.0259	0.1704	130.1297	0.793343493	1.82	0.0063	0.23	39.69	638.9256	11.8464	4.4842	2.3375	4.18	81.16	1.88	7.19	1.88	0	2947.937281	2488.439059	1209.328632	14.55557988	8.567394346	-10.91842454	18.92035595	110.1138	494	4.67	50.064	146.77	3.15	9.02	132.34	594044	1.30E-05	21.4029	757.8599	20	90	9.01	8.64	0.05	14	0.0022	52	0.497	0.5	0.021	1.3	61	0.454	6.59
MassExtra_Ref_8749-2024	MA	2024	MassExtra-Ref-8749	MassExtra-Ref-8749-2024	MassExtra-Ref-8749	17-Aug-24	Trout Brook	42.383816	-71.837751	6078749	59h	59	Ref	4.4613	17.8578	52.1755	202.7211	2.7631	14.3572	1.392	3.9287	67.7348	1.2963	0.0349	0.1168	3.511	0.0204	0.0494	137.8822	0.777583948	1.7	0.0084	0.2025	0	677.0109	12.5528	4.7411	2.4638	3.57	80.05	1.88	11.3	1.88	0	6568.092458	6028.378089	1211.582826	14.37146868	8.71176629	-10.51315323	18.56742299	101.8681	494	3.8335	62.4824	113.9912	0.8988	22.4901	143.6016	594044	2.56E-05	106.6665	786.8414	18.4	83.5	8.62	11.5	0.11	14	7.00E-04	85	0.816	0.93	0.028	0.99	49	0.137	6.71
MassExtra_Ref_8749-2025	MA	2025	MassExtra-Ref-8749	MassExtra-Ref-8749-2025	MassExtra-Ref-8749	8-Sep-25	Trout Brook	42.383816	-71.837751	6078749	59h	59	Ref	4.4613	17.8578	52.1755	202.7211	2.7631	14.3572	1.392	3.9287	67.7348	1.2963	0.0349	0.1168	3.511	0.0204	0.0494	137.8822	0.777583948	1.7	0.0084	0.2025	0	677.0109	12.5528	4.7411	2.4638	3.57	80.05	1.88	11.3	1.88	0	6568.092458	6028.378089	1211.582826	14.37146868	8.71176629	-10.51315323	18.56742299	101.8681	494	3.8335	62.4824	113.9912	0.8988	22.4901	143.6016	594044	2.56E-05	106.6665	786.8414	14.2	130.9	10.08	11.8	0.05	24	0.0018	34	0.439	0.44	0.024	1.6	110	0.369	7.16
MassExtra_Strs_5834-2024	MA	2024	MassExtra-Strs-5834	MassExtra-Strs-5834-2024	MassExtra-Strs-5834	14-Aug-24	Quinsigamond River	42.208366	-71.69757	6115834	59c	59	Strs	6.1272	96.4395	54	130.4513	3.0317	13.8382	1.9716	3.8041	69.3666	1.313	0.0199	0.0929	3.5616	0.0058	0.0214	175.0999	0.48611644	15.56	0.0326	0.2084	29.61	636.9873	11.7832	4.4334	2.2896	31.16	39.7	6.12	8.9	5.21	0.91	22558.54706	23958.301	1223.076169	15.06041712	9.237298137	-10.11145717	20.37118258	85.9209	700	5.2691	53.438	91.9484	0.8384	13.0552	141.2324	776153	9.78E-05	299.4268	781.775	23.5	554	8.44	34.2	0.05	120	0.0056	31	0.401	0.4	0.033	1.4	250	1.13	7.01
OverRef_0897-2025	MA	2025	OverRef-0897	OverRef-0897-2025	OverRef-0897	9-Sep-25	Amethyst Brook	42.38033448	-72.46510155	6780897	59a	59	Ref	2.5488	24.7239	50.4177	127.3572	1.9354	11.6634	1.8594	4.1121	70.6445	1.4363	0.0225	0.12	2.2806	0.0169	0.0575	167.7623	0.711192072	2.69	0.0044	0.1852	0	778.139	14.4604	5.5081	2.9011	5.3	73.69	3.07	7.06	2.61	0.46	3826.048717	3564.455701	1201.525302	14.90779503	8.729700312	-10.60363693	19.42932387	144.8479	616	2.8562	67.6499	129.7102	1.0574	28.7389	144.8056	385693	1.32E-05	8.0467	767.1638	15	140.6	9.84	18.2	0.17	23	0.0051	19	0.368	0.54	0.01	0.47	90	1.04	7.42
OverRef_1339-2024	MA	2024	OverRef-1339	OverRef-1339-2024	OverRef-1339	18-Aug-24	East Branch Fever Brook	42.479448	-72.224754	7691339	59b	59	Ref	1.1223	14.184	48	241.6881	2.2709	14.8016	5.1805	8.3748	58.7576	3.9614	0.0388	0.1441	1.8586	0.0244	0.078	135.4564	0.867447775	0.04	3.00E-04	0.19	100	704.7501	13.0966	4.9858	2.6237	0	96.24	0	1.68	0	0	1151.001148	923.1963583	1207.833574	13.98406651	7.939712734	-11.38364056	18.73820852	53.3009	469	4.99	55.7	99.95	1.45	13.98	139.56	439717	3.23E-07	5.3335	745.49	20.2	68	7.28	8.5	0.05	15	0.0013	90	0.415	0.42	0.02	1.3	72	0.264	6.36
OverRef_1407-2024	MA	2024	OverRef-1407	OverRef-1407-2024	OverRef-1407	18-Aug-24	Parkers Brook	42.394423	-72.047131	7691407	59b	59	Ref	2.8818	13.7736	51.7508	244.0094	1.8567	15.0957	3.7427	7.8111	61.5128	3.4039	0.0739	0.1613	2.2513	0.0344	0.1894	96.4823	0.750892084	1.61	0.0027	0.2004	0	661.2796	12.2823	4.6596	2.4387	3.31	82.55	1.75	8.62	1.75	0	3651.047393	3186.110644	1185.148714	14.0270287	8.108121742	-11.34572136	17.5253458	96.6899	469	3.6222	62.3664	117.2357	0.9076	23.8788	143.9504	439717	6.42E-06	40.5035	759.8538	15.6	95	9.7	14.6	0.05	19	0.0019	46	0.15	0.15	0.024	4.2	78	0.375	6.46
OverRef_2275-2022	MA	2022	OverRef-2275	OverRef-2275-2022	OverRef-2275	9/12/22	North Brook	42.392526	-71.660329	6772275	59h	59	SubRef	18.2133	21.1221	54.8299	136.8272	2.6031	13.9586	3.0521	4.9097	65.1749	2.0072	0.0326	0.1183	3.168	0.0165	0.0446	157.2182	0.694380667	4.7	0.0101	0.18	94.02	643.7343	11.9002	4.4814	2.318	9.06	66.21	3.61	14.09	3.56	0.05	37150.84632	37107.34293	1194.774372	14.93815833	9.198056649	-10.08288782	19.4100592	91.0021	585.3715	7.2	45.9699	127.1	0.77	8.09	103.16	906582.4976	0.00016992	170.898	782.5542	19.2	0.256	12.6	15.4	0.19	150	0.001	35	0.46	0.65	0.107	3.6	160	0.199	6.14
OverRef_3355-2024	MA	2024	OverRef-3355	OverRef-3355-2024	OverRef-3355	18-Aug-24	Not Available	42.688459	-72.179348	9343355	58g	58	Ref	1.5021	37.377	48.2612	290.5313	3.262	14.5157	2.2894	3.9544	69.3868	1.1218	0.0117	0.1211	2.9413	0.0075	0.0297	150.7441	0.80805316	0.53	0.0072	0.21	100	653.645	12.1858	4.6101	2.4023	0.66	82.86	3.06	6.59	3.06	0	1540.582002	1261.85596	1203.489496	13.52528284	7.515066093	-12.19604539	18.8182364	15.9712	641	3.73	57.98	101.49	6.55	9.75	146.3	301861	9.25E-06	113.5712	741.0719	20.8	55	8.45	8.18	0.05	10	0.0014	160	0.592	0.59	0.022	1.5	89	0.292	6.74
