#SampleID	State	Year	SiteAlias	SampleID2	Newname	Under
PrimeRef-0363	MA	2025	PrimeRef-0363	PrimeRef-0363	PrimeRef_0363-2025	PrimeRef_0363
PrimeRef-0363-QC	MA	2025	PrimeRef-0363	PrimeRef-0363-QC	PrimeRef_0363_QC-2025	PrimeRef_0363_QC
PrimeRef-0379	MA	2025	PrimeRef-0379	PrimeRef-0379	PrimeRef_0379-2025	PrimeRef_0379
PrimeRef-4614	MA	2025	PrimeRef-4614	PrimeRef-4614	PrimeRef_4614-2025	PrimeRef_4614
PrimeStrs-3779	MA	2025	PrimeStrs-3779	PrimeStrs-3779	PrimeStrs_3779-2025	PrimeStrs_3779
PrimeRef-9677	MA	2025	PrimeRef-9677	PrimeRef-9677	PrimeRef_9677-2025	PrimeRef_9677
PrimeRef-9677-QC	MA	2025	PrimeRef-9677	PrimeRef-9677-QC	PrimeRef_9677_QC-2025	PrimeRef_9677_QC
OverStrs-8635	MA	2025	OverStrs-8635	OverStrs-8635	OverStrs_8635-2025	OverStrs_8635
OverStrs-9519	MA	2025	OverStrs-9519	OverStrs-9519	OverStrs_9519-2025	OverStrs_9519
PrimeStrs-6989	MA	2025	PrimeStrs-6989	PrimeStrs-6989	PrimeStrs_6989-2025	PrimeStrs_6989
PrimeStrs-4305	MA	2025	PrimeStrs-4305	PrimeStrs-4305	PrimeStrs_4305-2025	PrimeStrs_4305
PrimeStrs-8803	MA	2025	PrimeStrs-8803	PrimeStrs-8803	PrimeStrs_8803-2025	PrimeStrs_8803
PrimeRef-7271	MA	2025	PrimeRef-7271	PrimeRef-7271	PrimeRef_7271-2025	PrimeRef_7271
PrimeStrs-8803-QC	MA	2025	PrimeStrs-8803	PrimeStrs-8803-QC	PrimeStrs_8803_QC-2025	PrimeStrs_8803_QC
PrimeStrs-1863	MA	2025	PrimeStrs-1863	PrimeStrs-1863	PrimeStrs_1863-2025	PrimeStrs_1863
PrimeStrs-97435	MA	2025	PrimeStrs-97435	PrimeStrs-97435	PrimeStrs_97435-2025	PrimeStrs_97435
PrimeRef-2325	MA	2025	PrimeRef-2325	PrimeRef-2325	PrimeRef_2325-2025	PrimeRef_2325
OverStrs-6365	MA	2025	OverStrs-6365	OverStrs-6365	OverStrs_6365-2025	OverStrs_6365
PrimeStrs-7435	MA	2025	PrimeStrs-7435	PrimeStrs-7435	PrimeStrs_7435-2025	PrimeStrs_7435
PrimeRef-6366	MA	2025	PrimeRef-6366	PrimeRef-6366	PrimeRef_6366-2025	PrimeRef_6366
PrimeStrs-4829	MA	2025	PrimeStrs-4829	PrimeStrs-4829	PrimeStrs_4829-2025	PrimeStrs_4829
PrimeStrs-4293	MA	2025	PrimeStrs-4293	PrimeStrs-4293	PrimeStrs_4293-2025	PrimeStrs_4293
PrimeStrs-6327	MA	2025	PrimeStrs-6327	PrimeStrs-6327	PrimeStrs_6327-2025	PrimeStrs_6327
PrimeStrs-7147	MA	2025	PrimeStrs-7147	PrimeStrs-7147	PrimeStrs_7147-2025	PrimeStrs_7147
PrimeRef-5379	MA	2025	PrimeRef-5379	PrimeRef-5379	PrimeRef_5379-2025	PrimeRef_5379
PrimeRef-6395	MA	2025	PrimeRef-6395	PrimeRef-6395	PrimeRef_6395-2025	PrimeRef_6395
OverStrs-6971	MA	2025	OverStrs-6971	OverStrs-6971	OverStrs_6971-2025	OverStrs_6971
MassExtra-Ref-8749	MA	2025	MassExtra-Ref-8749	MassExtra-Ref-8749	MassExtra_Ref_8749-2025	MassExtra_Ref_8749
PrimeStrs-5837	MA	2025	PrimeStrs-5837	PrimeStrs-5837	PrimeStrs_5837-2025	PrimeStrs_5837
PrimeRef-0065	MA	2025	PrimeRef-0065	PrimeRef-0065	PrimeRef_0065-2025	PrimeRef_0065
OverRef-7631	MA	2025	OverRef-7631	OverRef-7631	OverRef_7631-2025	OverRef_7631
PrimeStrs-7587	MA	2025	PrimeStrs-7587	PrimeStrs-7587	PrimeStrs_7587-2025	PrimeStrs_7587
PrimeStrs-8297	MA	2025	PrimeStrs-8297	PrimeStrs-8297	PrimeStrs_8297-2025	PrimeStrs_8297
PrimeRef-8541	MA	2025	PrimeRef-8541	PrimeRef-8541	PrimeRef_8541-2025	PrimeRef_8541
PrimeStrs-8773	MA	2025	PrimeStrs-8773	PrimeStrs-8773	PrimeStrs_8773-2025	PrimeStrs_8773
PrimeStrs-8773-QC	MA	2025	PrimeStrs-8773	PrimeStrs-8773-QC	PrimeStrs_8773_QC-2025	PrimeStrs_8773_QC
OverRef-3809	MA	2025	OverRef-3809	OverRef-3809	OverRef_3809-2025	OverRef_3809
PrimeRef-1781	MA	2025	PrimeRef-1781	PrimeRef-1781	PrimeRef_1781-2025	PrimeRef_1781
PrimeRef-8122	MA	2025	PrimeRef-8122	PrimeRef-8122	PrimeRef_8122-2025	PrimeRef_8122
PrimeRef-0783	MA	2025	PrimeRef-0783	PrimeRef-0783	PrimeRef_0783-2025	PrimeRef_0783
OverStrs-1871	MA	2025	OverStrs-1871	OverStrs-1871	OverStrs_1871-2025	OverStrs_1871
OverRef-0897	MA	2025	OverRef-0897	OverRef-0897	OverRef_0897-2025	OverRef_0897
OverStrs-0879	MA	2025	OverStrs-0879	OverStrs-0879	OverStrs_0879-2025	OverStrs_0879
PrimeStrs-0917	MA	2025	PrimeStrs-0917	PrimeStrs-0917	PrimeStrs_0917-2025	PrimeStrs_0917
W1057	MA	2025	W1057	W1057	W1057_2025	W1057
